,CustomerId,Profit,Recency,Frequency,Monetary,Variance,RFM_group_name,SegmentID,Segment_Name
786,821.0,93.0,7.0,9.0,4375.47,14.0,Loyal Custome,2,srebro
787,822.0,1085.0,5.0,12.0,87560.52,39.0,Champion,1,złoto
788,823.0,652.0,2.0,20.0,19712.18,18.0,Champion,1,złoto
789,824.0,444.0,3.0,23.0,10238.08,15.0,Champion,1,złoto
790,825.0,21.0,42.0,2.0,1208.89,6.0,Hibernating,0,brąz
791,826.0,546.0,5.0,15.0,36921.52,24.0,Champion,1,złoto
792,827.0,1274.0,3.0,15.0,71580.38,48.0,Champion,1,złoto
793,828.0,88.0,52.0,4.0,1526.73,5.0,At Risk,0,brąz
794,830.0,132.0,32.0,2.0,5728.32,5.0,Hibernating,0,brąz
795,831.0,250.0,2.0,15.0,6976.49,18.0,Loyal Custome,1,złoto
796,832.0,448.0,21.0,6.0,2868.52,6.0,Needs Attention,2,srebro
797,833.0,106.0,5.0,10.0,1720.64,7.0,Potential Loyalist,2,srebro
798,834.0,263.0,5.0,13.0,9835.83,8.0,Champion,1,złoto
799,835.0,1432.0,5.0,15.0,137346.23,32.0,Champion,1,złoto
800,836.0,2652.0,25.0,8.0,68881.43,5.0,At Risk,2,srebro
801,837.0,294.0,14.0,10.0,13095.87,20.0,Loyal Custome,2,srebro
802,838.0,133.0,6.0,8.0,1969.6,6.0,Potential Loyalist,2,srebro
803,839.0,106.0,6.0,8.0,5215.4,11.0,Loyal Custome,2,srebro
804,840.0,3021.0,6.0,19.0,244349.05,65.0,Loyal Custome,1,złoto
805,841.0,213.0,12.0,6.0,7665.88,17.0,Needs Attention,2,srebro
806,842.0,15.0,10.0,1.0,278.85,1.0,Potential Loyalist,0,brąz
807,843.0,213.0,12.0,10.0,7188.65,22.0,Loyal Custome,2,srebro
808,844.0,220.0,6.0,9.0,9481.37,9.0,Loyal Custome,2,srebro
809,845.0,192.0,4.0,19.0,3791.97,13.0,Loyal Custome,1,złoto
810,846.0,18.0,47.0,2.0,161.1,1.0,Hibernating,0,brąz
811,847.0,1478.0,4.0,24.0,90326.14,56.0,Champion,1,złoto
812,848.0,75.0,49.0,8.0,874.25,7.0,Uncertain,0,brąz
813,849.0,355.0,5.0,13.0,13288.95,23.0,Champion,1,złoto
814,850.0,375.0,6.0,9.0,16475.31,8.0,Loyal Custome,1,złoto
815,851.0,41.0,5.0,9.0,705.26,7.0,Potential Loyalist,2,srebro
816,852.0,151.0,20.0,3.0,3568.77,4.0,Hibernating,2,srebro
